Year,Genres,Rating
1985,Adventure,3.5
1985,Platform,3.5
1986,Adventure,3.266666667
1986,Platform,3.35
1987,Adventure,2.766666667
1987,Platform,2.8
1987,RPG,2.6
1987,Shooter,2.9
1988,Adventure,3.1
1988,Platform,3.52
1989,Adventure,3.6
1989,Platform,3.6
1990,Adventure,3.76
1990,Platform,3.733333333
1991,Adventure,3.66
1991,Platform,3.233333333
1991,RPG,3.966666667
1991,Shooter,3.1
1992,Adventure,3.575
1992,Platform,3.233333333
1992,RPG,3.55
1992,Shooter,4
1993,Adventure,3.866666667
1993,Platform,3.7
1993,RPG,3.3
1993,Shooter,4.04
1994,Adventure,4.042857143
1994,Platform,4.014285714
1994,RPG,4.175
1994,Shooter,4.1
1995,Adventure,4.083333333
1995,Platform,3.8
1995,RPG,4.2
1995,Shooter,3.566666667
1996,Adventure,3.811111111
1996,Platform,3.666666667
1996,RPG,3.783333333
1996,Shooter,3.45
1997,Adventure,3.866666667
1997,Platform,4
1997,RPG,4.1375
1997,Shooter,3.32
1998,Adventure,4.15
1998,Platform,4
1998,RPG,4.28
1998,Shooter,4.133333333
1999,Adventure,3.444444444
1999,Platform,3.54
1999,RPG,3.822222222
1999,Shooter,3
2000,Adventure,3.844444444
2000,Platform,3.55
2000,RPG,4.157142857
2000,Shooter,4
2001,Adventure,3.9
2001,Indie,4
2001,Platform,3.45
2001,RPG,3.625
2001,Shooter,3.74
2002,Adventure,3.794117647
2002,Indie,3.8
2002,Platform,3.866666667
2002,RPG,3.65
2002,Shooter,3.92
2003,Adventure,3.578571429
2003,Indie,3.4
2003,Platform,3.3
2003,RPG,4.014285714
2003,Shooter,3.68
2004,Adventure,3.962962963
2004,Indie,3.96
2004,Platform,3.6875
2004,RPG,3.858333333
2004,Shooter,4.09
2005,Adventure,3.825925926
2005,Platform,3.8
2005,RPG,3.84
2005,Shooter,3.858333333
2006,Adventure,3.731578947
2006,Platform,3.24
2006,RPG,3.933333333
2006,Shooter,3.566666667
2007,Adventure,3.695833333
2007,Indie,3.1
2007,Platform,3.522727273
2007,RPG,3.981818182
2007,Shooter,3.857894737
2008,Adventure,3.665217391
2008,Indie,3.4
2008,Platform,3.690909091
2008,RPG,3.708333333
2008,Shooter,3.733333333
2009,Adventure,3.905
2009,Indie,3.55
2009,Platform,3.671428571
2009,RPG,3.484615385
2009,Shooter,3.645454545
2010,Adventure,3.773170732
2010,Indie,3.433333333
2010,Platform,3.6
2010,RPG,3.947826087
2010,Shooter,3.881818182
2011,Adventure,3.9075
2011,Indie,3.933333333
2011,Platform,3.909090909
2011,RPG,3.866666667
2011,Shooter,3.692857143
2012,Adventure,3.684848485
2012,Indie,3.636363636
2012,Platform,3.533333333
2012,RPG,3.885
2012,Shooter,3.433333333
2013,Adventure,3.56440678
2013,Indie,3.536363636
2013,Platform,3.453846154
2013,RPG,3.746153846
2013,Shooter,3.566666667
2014,Adventure,3.575609756
2014,Indie,3.40625
2014,Platform,3.454545455
2014,RPG,3.527777778
2014,Shooter,3.628571429
2015,Adventure,3.814583333
2015,Indie,3.484210526
2015,Platform,3.833333333
2015,RPG,3.705555556
2015,Shooter,3.241666667
2016,Adventure,3.748076923
2016,Indie,3.67
2016,Platform,3.483333333
2016,RPG,3.788235294
2016,Shooter,3.619047619
2017,Adventure,3.722222222
2017,Indie,3.760869565
2017,Platform,3.8
2017,RPG,3.869565217
2017,Shooter,3.473684211
2018,Adventure,3.866666667
2018,Indie,3.802857143
2018,Platform,3.957894737
2018,RPG,3.881481481
2018,Shooter,3.788888889
2019,Adventure,3.880821918
2019,Indie,3.919230769
2019,Platform,3.908333333
2019,RPG,3.85625
2019,Shooter,3.593333333
2020,Adventure,3.823214286
2020,Indie,3.831578947
2020,Platform,3.716666667
2020,RPG,3.860606061
2020,Shooter,3.647368421
2021,Adventure,3.875
2021,Indie,3.72
2021,Platform,3.907142857
2021,RPG,3.93
2021,Shooter,3.757894737
2022,Adventure,3.779518072
2022,Indie,3.815909091
2022,Platform,3.857142857
2022,RPG,3.823076923
2022,Shooter,3.575
2023,Adventure,3.564
2023,Indie,2.5
2023,Platform,4.214285714
2023,RPG,3.613333333
2023,Shooter,3.942857143
